Date,Open,High,Low,Close,Adj Close,Volume
02-01-2018,1053.02002,1075.97998,1053.02002,1073.209961,1073.209961,1588300
03-01-2018,1073.930054,1096.099976,1073.430054,1091.52002,1091.52002,1565900
04-01-2018,1097.089966,1104.079956,1094.26001,1095.76001,1095.76001,1302600
05-01-2018,1103.449951,1113.579956,1101.800049,1110.290039,1110.290039,1512500
08-01-2018,1111,1119.160034,1110,1114.209961,1114.209961,1232200
09-01-2018,1118.439941,1118.439941,1108.199951,1112.790039,1112.790039,1340400
10-01-2018,1107,1112.780029,1103.97998,1110.140015,1110.140015,1036700
11-01-2018,1112.310059,1114.849976,1106.47998,1112.050049,1112.050049,1121200
12-01-2018,1110.099976,1131.300049,1108.01001,1130.650024,1130.650024,1929300
16-01-2018,1140.310059,1148.880005,1126.660034,1130.699951,1130.699951,1823100
17-01-2018,1136.359985,1139.319946,1123.48999,1139.099976,1139.099976,1391500
18-01-2018,1139.349976,1140.589966,1124.459961,1135.969971,1135.969971,1374900
19-01-2018,1138.030029,1143.780029,1132.5,1143.5,1143.5,1527600
22-01-2018,1143.819946,1166.880005,1141.819946,1164.160034,1164.160034,1477500
23-01-2018,1170.619995,1178.51001,1167.25,1176.170044,1176.170044,1956900
24-01-2018,1184.97998,1187.050049,1167.400024,1171.290039,1171.290039,1856400
25-01-2018,1180.709961,1185,1171.839966,1182.140015,1182.140015,1499200
26-01-2018,1187.530029,1187.560059,1168.030029,1187.560059,1187.560059,2108500
29-01-2018,1188,1198,1184.060059,1186.47998,1186.47998,1574700
30-01-2018,1177.719971,1187.930054,1174.51001,1177.369995,1177.369995,1866900
31-01-2018,1183.810059,1186.319946,1172.099976,1182.219971,1182.219971,1801100
01-02-2018,1175.98999,1187.449951,1169.359985,1181.589966,1181.589966,3675700
02-02-2018,1127.420044,1131.300049,1111.170044,1119.199951,1119.199951,5892100
05-02-2018,1100.609985,1114.98999,1056.73999,1062.390015,1062.390015,4177500
06-02-2018,1033.97998,1087.380005,1030.01001,1084.430054,1084.430054,3831500
07-02-2018,1084.969971,1086.530029,1054.619995,1055.410034,1055.410034,2597100
08-02-2018,1059.869995,1063.930054,1004.700012,1007.710022,1007.710022,3339600
09-02-2018,1025.880005,1051.719971,997,1046.27002,1046.27002,4918000
12-02-2018,1056.670044,1065.569946,1045.48999,1054.560059,1054.560059,2812000
13-02-2018,1050,1061.219971,1046.920044,1054.140015,1054.140015,1579300
14-02-2018,1054.319946,1075.469971,1049.800049,1072.699951,1072.699951,2065200
15-02-2018,1083.449951,1094.099976,1067.22998,1091.359985,1091.359985,1869800
16-02-2018,1093.380005,1108.310059,1091.550049,1095.5,1095.5,1997400
20-02-2018,1092.76001,1116.290039,1090,1103.589966,1103.589966,1687700
21-02-2018,1109.099976,1136.199951,1107.51001,1113.75,1113.75,2074300
22-02-2018,1119.170044,1125.459961,1105.150024,1109.900024,1109.900024,1400500
23-02-2018,1118.660034,1129,1108.439941,1128.089966,1128.089966,1264600
26-02-2018,1131.859985,1144.199951,1129.339966,1143.699951,1143.699951,1545600
27-02-2018,1143.699951,1144.25,1116.790039,1117.51001,1117.51001,2148200
28-02-2018,1122,1127.650024,1103,1103.920044,1103.920044,2464600
01-03-2018,1109.540039,1111.27002,1067.290039,1071.410034,1071.410034,2766900
02-03-2018,1057.97998,1086.890015,1050.109985,1084.140015,1084.140015,2508100
05-03-2018,1078.130005,1101.180054,1072.27002,1094.76001,1094.76001,1432400
06-03-2018,1102.099976,1105.630005,1094.5,1100.900024,1100.900024,1169100
07-03-2018,1092.819946,1116.199951,1089.910034,1115.040039,1115.040039,1537400
08-03-2018,1117.199951,1131.439941,1117.199951,1129.380005,1129.380005,1693100
09-03-2018,1139.5,1161,1134.290039,1160.839966,1160.839966,2133100
12-03-2018,1165.050049,1178.160034,1159.199951,1165.930054,1165.930054,2215300
13-03-2018,1171.829956,1178,1134.569946,1139.910034,1139.910034,2157000
14-03-2018,1145.800049,1159.76001,1142.349976,1148.890015,1148.890015,2093500
15-03-2018,1149.569946,1162.5,1135.660034,1150.609985,1150.609985,1669100
16-03-2018,1155.349976,1156.810059,1131.359985,1134.420044,1134.420044,2932800
19-03-2018,1117.76001,1119.369995,1088.920044,1100.069946,1100.069946,3182800
20-03-2018,1098.400024,1105.550049,1082.420044,1095.800049,1095.800049,2729900
21-03-2018,1092.569946,1108.699951,1087.209961,1094,1094,2244900
22-03-2018,1080.01001,1083.920044,1049.640015,1053.150024,1053.150024,3465600
23-03-2018,1051.369995,1066.780029,1024.869995,1026.550049,1026.550049,2494000
26-03-2018,1050.599976,1059.27002,1010.580017,1054.089966,1054.089966,3299200
27-03-2018,1063.900024,1064.540039,997.619995,1006.940002,1006.940002,3040800
28-03-2018,1001.909973,1024.98999,984,1005.179993,1005.179993,3884900
29-03-2018,1011.210022,1048.050049,1004.039978,1037.140015,1037.140015,3466900
02-04-2018,1027.619995,1039.530029,994.25,1012.630005,1012.630005,3253400
03-04-2018,1016.150024,1025,997.25,1018.679993,1018.679993,2566100
04-04-2018,998.22998,1032.73999,996.51001,1029.709961,1029.709961,2536200
05-04-2018,1046.390015,1046.709961,1024,1032.640015,1032.640015,1791800
06-04-2018,1023.099976,1036,1006.25,1009.950012,1009.950012,2006700
09-04-2018,1020.039978,1044.589966,1019.200012,1020.090027,1020.090027,1661000
10-04-2018,1030.26001,1041.209961,1015.409973,1036.5,1036.5,1831000
11-04-2018,1032,1035.869995,1019.200012,1025.060059,1025.060059,1703000
12-04-2018,1031.469971,1044.650024,1026.050049,1037.290039,1037.290039,1644800
13-04-2018,1046.890015,1052.97998,1030.150024,1036.040039,1036.040039,1270500
16-04-2018,1045.550049,1051.430054,1033.920044,1046.099976,1046.099976,1488800
17-04-2018,1061.199951,1085,1057.089966,1079.359985,1079.359985,2729200
18-04-2018,1079.01001,1082,1070.52002,1075.390015,1075.390015,1556300
19-04-2018,1069.02002,1097.51001,1069.02002,1089.449951,1089.449951,1994200
20-04-2018,1084.27002,1094.75,1072.099976,1077.319946,1077.319946,2121700
23-04-2018,1082.97998,1088,1066.680054,1073.810059,1073.810059,3479500
24-04-2018,1059.199951,1064.48999,1012.859985,1022.640015,1022.640015,6411000
25-04-2018,1029.75,1036.069946,1017.01001,1022.98999,1022.98999,2893000
26-04-2018,1033.219971,1052.02002,1020.450012,1043.310059,1043.310059,2546300
27-04-2018,1045.540039,1051.699951,1027.589966,1031.449951,1031.449951,2037300
30-04-2018,1034.420044,1038.369995,1018.299988,1018.580017,1018.580017,1724600
01-05-2018,1016.299988,1041.72998,1010.609985,1040.75,1040.75,1766300
02-05-2018,1034,1043.97998,1023.159973,1026.050049,1026.050049,1734900
03-05-2018,1025.369995,1030.689941,1007.890015,1026.300049,1026.300049,1964100
